report_id,report_content,report_title,timestamp,confidence_score,issue_context
report_0018,"Update: After trying Adjust trackpad sensitivity settings, my Keyboard keys double typing is resolved!",Input issue on Inspiron 14 5000,2025-10-29 00:05:13,0.74,User reports Keyboard keys double typing on Inspiron 14 5000. 
report_0019,Experiencing Dell Update service causing high CPU usage on my All models with Dell Update. Started after update. Very frustrating!,Software issue on All models with Dell Update,2025-10-18 04:58:13,0.45,User reports Dell Update service causing high CPU usage on All models with Dell Update. 
report_0020,Thunderbolt 4 ports not working is making my XPS 13 Plus unusable. Considering switching brands.,Ports issue on XPS 13 Plus,2025-09-01 05:50:13,0.71,User reports Thunderbolt 4 ports not working on XPS 13 Plus. 
report_0021,Confirming Update Intel Graphics drivers works for Screen flickering on startup. Tested on XPS 17 9720.,Display issue on XPS 17 9720,2025-12-05 22:16:13,0.52,User reports Screen flickering on startup on XPS 17 9720. Also mentions 2 related issue(s).
report_0022,PSA: Bottom panel warping seems to affect XPS 15 9520. Dell needs to address this.,Build_Quality issue on XPS 15 9520,2025-08-23 01:08:13,0.74,User reports Bottom panel warping on XPS 15 9520. 
report_0023,Confirming Update Windows audio stack works for Audio crackling and popping. Tested on XPS 13 9315.,Audio issue on XPS 13 9315,2025-09-13 05:23:13,0.73,User reports Audio crackling and popping on XPS 13 9315. Also mentions 1 related issue(s).
report_0024,Warning: USB ports stopped working suddenly appeared after latest Windows/BIOS update on Inspiron 15,Ports issue on Inspiron 15,2025-12-25 21:41:13,0.65,User reports USB ports stopped working suddenly on Inspiron 15. Also mentions 1 related issue(s).
report_0025,Experiencing Intel WiFi 6 AX201 compatibility issues on my Multiple models with AX201 card. Started 2 months ago. Very frustrating!,Connectivity issue on Multiple models with AX201 card,2026-01-23 23:17:13,0.7,User reports Intel WiFi 6 AX201 compatibility issues on Multiple models with AX201 card. 
report_0026,Laptop too hot to touch on brand new Inspiron 14. Should I return it?,Thermal issue on Inspiron 14,2025-11-06 08:26:13,0.86,User reports Laptop too hot to touch on Inspiron 14. Also mentions 1 related issue(s).
report_0027,Experiencing Power adapter overheating on my XPS 15. Started after update. Very frustrating!,Power issue on XPS 15,2025-10-29 03:30:13,0.84,User reports Power adapter overheating on XPS 15. 
report_0028,Fan control not working after firmware update - has anyone found a solution? Running Precision 5570,Firmware issue on Precision 5570,2025-08-25 20:55:13,0.68,User reports Fan control not working after firmware update on Precision 5570. Also mentions 2 related issue(s).
report_0029,Dead pixels appearing after 6 months - has anyone found a solution? Running XPS 13 Plus,Display issue on XPS 13 Plus,2025-12-22 11:53:13,0.9,User reports Dead pixels appearing after 6 months on XPS 13 Plus. 
report_0030,Warning: CPU overheating during normal tasks appeared after latest Windows/BIOS update on XPS 15 9520,Thermal issue on XPS 15 9520,2025-08-29 12:47:13,0.75,User reports CPU overheating during normal tasks on XPS 15 9520. 
report_0031,Thermal throttling in games is making my G15 5520 unusable. Considering switching brands.,Thermal issue on G15 5520,2025-10-02 00:08:13,0.78,User reports Thermal throttling in games on G15 5520. 
report_0032,Confirming Disable 80% charge limit in BIOS works for Battery not charging beyond 80%. Tested on Inspiron 15 5000.,Battery issue on Inspiron 15 5000,2025-12-16 12:17:13,0.54,User reports Battery not charging beyond 80% on Inspiron 15 5000. Also mentions 1 related issue(s).
report_0033,Warning: SSD not detected after sleep appeared after latest Windows/BIOS update on XPS 13 9315,Storage issue on XPS 13 9315,2025-09-16 10:51:13,0.87,User reports SSD not detected after sleep on XPS 13 9315. 
report_0034,Still having USB ports stopped working suddenly even after Reset USB controllers in Device Manager. Any other suggestions?,Ports issue on Inspiron 15,2025-10-27 02:18:13,0.47,User reports USB ports stopped working suddenly on Inspiron 15. 
report_0035,Battery draining rapidly on Dell XPS 15 is making my XPS 15 9520 unusable. Considering switching brands.,Battery issue on XPS 15 9520,2025-12-10 20:52:13,0.72,User reports Battery draining rapidly on Dell XPS 15 on XPS 15 9520. Also mentions 1 related issue(s).
report_0036,Warning: Fan control not working after firmware update appeared after latest Windows/BIOS update on Precision 5570,Firmware issue on Precision 5570,2025-11-08 12:55:13,0.89,User reports Fan control not working after firmware update on Precision 5570. 
report_0037,Sudden battery percentage drops on brand new XPS 13 9310. Should I return it?,Battery issue on XPS 13 9310,2025-09-23 23:41:13,0.84,User reports Sudden battery percentage drops on XPS 13 9310. 
report_0038,Dell support suggested Repaste CPU/GPU with thermal paste for Laptop too hot to touch. Will update with results.,Thermal issue on Inspiron 14,2026-01-23 15:21:13,0.71,User reports Laptop too hot to touch on Inspiron 14. Also mentions 2 related issue(s).
report_0039,Experiencing Bluetooth audio lag and stuttering on my Latitude 7430. Started after update. Very frustrating!,Connectivity issue on Latitude 7430,2025-08-19 13:37:13,0.61,User reports Bluetooth audio lag and stuttering on Latitude 7430. 
report_0040,PSA: Bluetooth audio lag and stuttering seems to affect Latitude 7430. Dell needs to address this.,Connectivity issue on Latitude 7430,2026-01-24 20:22:13,0.75,User reports Bluetooth audio lag and stuttering on Latitude 7430. Also mentions 2 related issue(s).
report_0041,Still having Power adapter overheating even after Clean USB-C port contacts. Any other suggestions?,Power issue on XPS 15,2026-01-21 16:22:13,0.76,User reports Power adapter overheating on XPS 15. 
report_0042,Warning: USB ports stopped working suddenly appeared after latest Windows/BIOS update on Inspiron 15,Ports issue on Inspiron 15,2025-09-14 12:31:13,0.7,User reports USB ports stopped working suddenly on Inspiron 15. Also mentions 1 related issue(s).
report_0043,"Update: After trying Uninstall Dell bloatware, my Intel Graphics driver crashes is resolved!",Software issue on XPS 13,2025-10-02 22:07:13,0.73,User reports Intel Graphics driver crashes on XPS 13. 
report_0044,Trackpad click not registering - has anyone found a solution? Running XPS 13 Plus,Input issue on XPS 13 Plus,2025-11-06 06:50:13,0.82,User reports Trackpad click not registering on XPS 13 Plus. 
report_0045,Still having Battery draining rapidly on Dell XPS 15 even after Disable 80% charge limit in BIOS. Any other suggestions?,Battery issue on XPS 15 9520,2025-12-20 14:45:13,0.74,User reports Battery draining rapidly on Dell XPS 15 on XPS 15 9520. 
report_0046,Experiencing Sticky keyboard keys after 3 months on my G15 Gaming. Started recently. Very frustrating!,Input issue on G15 Gaming,2025-11-06 17:35:13,0.86,User reports Sticky keyboard keys after 3 months on G15 Gaming. 
report_0047,Still having Audio crackling and popping even after Reinstall Realtek audio drivers. Any other suggestions?,Audio issue on XPS 13 9315,2025-12-01 23:58:13,0.91,User reports Audio crackling and popping on XPS 13 9315. 
report_0048,Screen flickering on startup is making my XPS 17 9720 unusable. Considering switching brands.,Display issue on XPS 17 9720,2025-10-20 19:19:13,0.81,User reports Screen flickering on startup on XPS 17 9720. Also mentions 1 related issue(s).
report_0049,Palmrest discoloration on brand new XPS 13 9310 white. Should I return it?,Build_Quality issue on XPS 13 9310 white,2025-08-03 12:26:13,0.54,User reports Palmrest discoloration on XPS 13 9310 white. 
report_0050,Dell support suggested Update Thunderbolt firmware and drivers for Thunderbolt 4 ports not working. Will update with results.,Ports issue on XPS 13 Plus,2025-09-23 21:07:13,0.53,User reports Thunderbolt 4 ports not working on XPS 13 Plus. 
report_0051,Confirming Update to latest stable BIOS works for BIOS update causing boot failure. Tested on XPS 15 9520.,Firmware issue on XPS 15 9520,2025-09-14 08:10:13,0.81,User reports BIOS update causing boot failure on XPS 15 9520. 
report_0052,Audio crackling and popping is making my XPS 13 9315 unusable. Considering switching brands.,Audio issue on XPS 13 9315,2025-09-29 09:39:13,0.8,User reports Audio crackling and popping on XPS 13 9315. Also mentions 1 related issue(s).
report_0053,Dell support suggested Disable audio enhancements for Audio crackling and popping. Will update with results.,Audio issue on XPS 13 9315,2025-12-04 07:18:13,0.58,User reports Audio crackling and popping on XPS 13 9315. 
report_0054,Still having Dead pixels appearing after 6 months even after Adjust display refresh rate. Any other suggestions?,Display issue on XPS 13 Plus,2025-08-29 14:19:13,0.76,User reports Dead pixels appearing after 6 months on XPS 13 Plus. 
report_0055,Still having Power adapter overheating even after Clean USB-C port contacts. Any other suggestions?,Power issue on XPS 15,2025-12-13 11:35:13,0.5,User reports Power adapter overheating on XPS 15. 
report_0056,Confirming RMA for screen replacement works for Screen flickering on startup. Tested on XPS 17 9720.,Display issue on XPS 17 9720,2025-08-17 19:01:13,0.75,User reports Screen flickering on startup on XPS 17 9720. 
report_0057,Power adapter overheating on brand new XPS 15. Should I return it?,Power issue on XPS 15,2025-10-28 06:46:13,0.51,User reports Power adapter overheating on XPS 15. Also mentions 1 related issue(s).
report_0058,PSA: Screen flickering on startup seems to affect XPS 17 9720. Dell needs to address this.,Display issue on XPS 17 9720,2025-10-10 11:09:13,0.87,User reports Screen flickering on startup on XPS 17 9720. Also mentions 2 related issue(s).
report_0059,"Update: After trying RMA for screen replacement, my Backlight bleeding on edges is resolved!",Display issue on Inspiron 16 Plus,2025-09-16 03:19:13,0.58,User reports Backlight bleeding on edges on Inspiron 16 Plus. Also mentions 2 related issue(s).
report_0060,"Update: After trying Uninstall Dell bloatware, my Dell Update service causing high CPU usage is resolved!",Software issue on All models with Dell Update,2025-11-04 16:37:13,0.67,User reports Dell Update service causing high CPU usage on All models with Dell Update. 
report_0061,Experiencing Sticky keyboard keys after 3 months on my G15 Gaming. Started recently. Very frustrating!,Input issue on G15 Gaming,2026-01-26 19:07:13,0.69,User reports Sticky keyboard keys after 3 months on G15 Gaming. Also mentions 1 related issue(s).
report_0062,Still having Sticky keyboard keys after 3 months even after Update trackpad drivers from Dell. Any other suggestions?,Input issue on G15 Gaming,2026-01-16 14:26:13,0.74,User reports Sticky keyboard keys after 3 months on G15 Gaming. 
report_0063,Dell support suggested Update trackpad drivers from Dell for Sticky keyboard keys after 3 months. Will update with results.,Input issue on G15 Gaming,2025-12-15 11:10:13,0.81,User reports Sticky keyboard keys after 3 months on G15 Gaming. 
report_0064,Intel WiFi 6 AX201 compatibility issues is making my Multiple models with AX201 card unusable. Considering switching brands.,Connectivity issue on Multiple models with AX201 card,2025-08-04 19:38:13,0.94,User reports Intel WiFi 6 AX201 compatibility issues on Multiple models with AX201 card. Also mentions 2 related issue(s).
report_0065,Fan control not working after firmware update is making my Precision 5570 unusable. Considering switching brands.,Firmware issue on Precision 5570,2025-09-11 08:25:13,0.63,User reports Fan control not working after firmware update on Precision 5570. 
report_0066,Confirming Update USB-C firmware via Dell Update works for USB-C charging intermittent. Tested on XPS 13 Plus.,Power issue on XPS 13 Plus,2025-12-12 14:43:13,0.54,User reports USB-C charging intermittent on XPS 13 Plus. 
report_0067,SSD not detected after sleep is making my XPS 13 9315 unusable. Considering switching brands.,Storage issue on XPS 13 9315,2025-08-25 18:13:13,0.6,User reports SSD not detected after sleep on XPS 13 9315. Also mentions 2 related issue(s).
report_0068,PSA: Screen flickering on startup seems to affect XPS 17 9720. Dell needs to address this.,Display issue on XPS 17 9720,2025-09-19 07:55:13,0.9,User reports Screen flickering on startup on XPS 17 9720. 
report_0069,Screen flickering on startup is making my XPS 17 9720 unusable. Considering switching brands.,Display issue on XPS 17 9720,2025-09-22 00:23:13,0.74,User reports Screen flickering on startup on XPS 17 9720. 
report_0070,PSA: USB ports stopped working suddenly seems to affect Inspiron 15. Dell needs to address this.,Ports issue on Inspiron 15,2026-01-07 04:01:13,0.61,User reports USB ports stopped working suddenly on Inspiron 15. Also mentions 1 related issue(s).
report_0071,Dell support suggested Update USB-C firmware via Dell Update for USB-C charging intermittent. Will update with results.,Power issue on XPS 13 Plus,2025-09-04 13:08:13,0.92,User reports USB-C charging intermittent on XPS 13 Plus. 
report_0072,Warning: Trackpad click not registering appeared after latest Windows/BIOS update on XPS 13 Plus,Input issue on XPS 13 Plus,2026-01-11 21:06:13,0.57,User reports Trackpad click not registering on XPS 13 Plus. Also mentions 1 related issue(s).
report_0073,PSA: BIOS update causing boot failure seems to affect XPS 15 9520. Dell needs to address this.,Firmware issue on XPS 15 9520,2025-10-28 01:28:13,0.64,User reports BIOS update causing boot failure on XPS 15 9520. Also mentions 1 related issue(s).
report_0074,Confirming Update USB-C firmware via Dell Update works for Power adapter overheating. Tested on XPS 15.,Power issue on XPS 15,2025-11-18 12:52:13,0.69,User reports Power adapter overheating on XPS 15. Also mentions 1 related issue(s).
report_0075,Confirming Update Windows audio stack works for Audio crackling and popping. Tested on XPS 13 9315.,Audio issue on XPS 13 9315,2025-12-23 16:28:13,0.83,User reports Audio crackling and popping on XPS 13 9315. Also mentions 2 related issue(s).
report_0076,Experiencing Laptop too hot to touch on my Inspiron 14. Started recently. Very frustrating!,Thermal issue on Inspiron 14,2025-08-27 05:12:13,0.78,User reports Laptop too hot to touch on Inspiron 14. Also mentions 1 related issue(s).
report_0077,Confirming Adjust trackpad sensitivity settings works for Trackpad click not registering. Tested on XPS 13 Plus.,Input issue on XPS 13 Plus,2026-01-13 06:37:13,0.72,User reports Trackpad click not registering on XPS 13 Plus. 
report_0078,Warning: USB ports stopped working suddenly appeared after latest Windows/BIOS update on Inspiron 15,Ports issue on Inspiron 15,2025-12-15 08:06:13,0.94,User reports USB ports stopped working suddenly on Inspiron 15. Also mentions 1 related issue(s).
report_0079,Confirming Disable WiFi power management works for WiFi disconnecting randomly. Tested on XPS 13 9310.,Connectivity issue on XPS 13 9310,2025-10-21 18:29:13,0.48,User reports WiFi disconnecting randomly on XPS 13 9310. Also mentions 1 related issue(s).
report_0080,"Update: After trying Uninstall Dell bloatware, my Dell Update service causing high CPU usage is resolved!",Software issue on All models with Dell Update,2025-10-24 23:53:13,0.83,User reports Dell Update service causing high CPU usage on All models with Dell Update. Also mentions 2 related issue(s).
report_0081,PSA: WiFi disconnecting randomly seems to affect XPS 13 9310. Dell needs to address this.,Connectivity issue on XPS 13 9310,2025-11-24 13:48:13,0.73,User reports WiFi disconnecting randomly on XPS 13 9310. Also mentions 1 related issue(s).
report_0082,Power adapter overheating on brand new XPS 15. Should I return it?,Power issue on XPS 15,2025-12-22 17:44:13,0.75,User reports Power adapter overheating on XPS 15. 
report_0083,Experiencing Battery not charging beyond 80% on my Inspiron 15 5000. Started recently. Very frustrating!,Battery issue on Inspiron 15 5000,2026-01-20 02:34:13,0.75,User reports Battery not charging beyond 80% on Inspiron 15 5000. Also mentions 1 related issue(s).
report_0084,Dead pixels appearing after 6 months on brand new XPS 13 Plus. Should I return it?,Display issue on XPS 13 Plus,2025-12-20 12:49:13,0.93,User reports Dead pixels appearing after 6 months on XPS 13 Plus. 
report_0085,PSA: Audio crackling and popping seems to affect XPS 13 9315. Dell needs to address this.,Audio issue on XPS 13 9315,2025-12-13 17:21:13,0.93,User reports Audio crackling and popping on XPS 13 9315. 
report_0086,Dell support suggested RMA for screen replacement for Backlight bleeding on edges. Will update with results.,Display issue on Inspiron 16 Plus,2025-11-09 08:50:13,0.87,User reports Backlight bleeding on edges on Inspiron 16 Plus. Also mentions 1 related issue(s).
report_0087,"Update: After trying Clean keyboard with compressed air, my Sticky keyboard keys after 3 months is resolved!",Input issue on G15 Gaming,2025-08-09 09:17:13,0.68,User reports Sticky keyboard keys after 3 months on G15 Gaming. Also mentions 2 related issue(s).
report_0088,Experiencing Thunderbolt 4 ports not working on my XPS 13 Plus. Started 2 months ago. Very frustrating!,Ports issue on XPS 13 Plus,2025-10-17 11:26:13,0.88,User reports Thunderbolt 4 ports not working on XPS 13 Plus. Also mentions 1 related issue(s).
report_0089,Dell Update service causing high CPU usage - has anyone found a solution? Running All models with Dell Update,Software issue on All models with Dell Update,2025-10-04 07:50:13,0.89,User reports Dell Update service causing high CPU usage on All models with Dell Update. Also mentions 1 related issue(s).
report_0090,Bottom panel warping - has anyone found a solution? Running XPS 15 9520,Build_Quality issue on XPS 15 9520,2025-08-05 16:34:13,0.66,User reports Bottom panel warping on XPS 15 9520. 
report_0091,Confirming Recalibrate battery via BIOS works for Battery not charging beyond 80%. Tested on Inspiron 15 5000.,Battery issue on Inspiron 15 5000,2025-08-17 00:09:13,0.54,User reports Battery not charging beyond 80% on Inspiron 15 5000. 
report_0092,Experiencing Palmrest discoloration on my XPS 13 9310 white. Started after update. Very frustrating!,Build_Quality issue on XPS 13 9310 white,2025-10-03 08:44:13,0.81,User reports Palmrest discoloration on XPS 13 9310 white. 
report_0093,Experiencing Laptop too hot to touch on my Inspiron 14. Started last week. Very frustrating!,Thermal issue on Inspiron 14,2026-01-22 16:34:13,0.64,User reports Laptop too hot to touch on Inspiron 14. Also mentions 1 related issue(s).
report_0094,PSA: BIOS update causing boot failure seems to affect XPS 15 9520. Dell needs to address this.,Firmware issue on XPS 15 9520,2025-12-20 01:57:13,0.7,User reports BIOS update causing boot failure on XPS 15 9520. 
report_0095,Experiencing Battery draining rapidly on Dell XPS 15 on my XPS 15 9520. Started 2 months ago. Very frustrating!,Battery issue on XPS 15 9520,2025-12-07 15:26:13,0.75,User reports Battery draining rapidly on Dell XPS 15 on XPS 15 9520. 
report_0096,PSA: Microphone not working after Windows update seems to affect Inspiron 15. Dell needs to address this.,Audio issue on Inspiron 15,2025-08-16 02:06:13,0.66,User reports Microphone not working after Windows update on Inspiron 15. Also mentions 1 related issue(s).
report_0097,Battery not charging beyond 80% on brand new Inspiron 15 5000. Should I return it?,Battery issue on Inspiron 15 5000,2025-12-02 13:19:13,0.57,User reports Battery not charging beyond 80% on Inspiron 15 5000. Also mentions 2 related issue(s).
report_0098,Microphone not working after Windows update - has anyone found a solution? Running Inspiron 15,Audio issue on Inspiron 15,2025-09-22 20:51:13,0.64,User reports Microphone not working after Windows update on Inspiron 15. 
report_0099,Trackpad click not registering is making my XPS 13 Plus unusable. Considering switching brands.,Input issue on XPS 13 Plus,2025-11-22 22:01:13,0.73,User reports Trackpad click not registering on XPS 13 Plus. 
